employer_id,sektor_usaha,wilayah,skala,tanggal_registrasi
EMP-0001,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0002,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0003,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0004,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0005,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0006,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0007,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0008,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0009,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0010,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0011,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0012,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0013,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0014,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0015,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0016,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0017,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0018,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0019,Manufaktur,DKI Jakarta,Kecil,2025-11-01
EMP-0020,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0021,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0022,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0023,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0024,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0025,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0026,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0027,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0028,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0029,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0030,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0031,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0032,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0033,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0034,Manufaktur,DKI Jakarta,Kecil,2022-01-01
EMP-0035,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0036,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0037,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0038,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0039,Manufaktur,Jawa Barat,Menengah,2022-01-01
EMP-0040,Manufaktur,Jawa Barat,Menengah,2022-01-01
