employer_id,sektor_usaha,wilayah,skala,anomaly_type,detail
EMP-0001,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0002,Manufaktur,DKI Jakarta,Kecil,REMITTANCE_GAP,"Actual remittance ~16% di bawah expected, berulang sejak periode 2025-09"
EMP-0003,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0004,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0005,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0006,Manufaktur,DKI Jakarta,Kecil,REMITTANCE_GAP,"Actual remittance ~16% di bawah expected, berulang sejak periode 2025-05"
EMP-0007,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0008,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0009,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0010,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0011,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0012,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0013,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0014,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0015,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0016,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0017,Manufaktur,DKI Jakarta,Kecil,REMITTANCE_GAP,"Actual remittance ~22% di bawah expected, berulang sejak periode 2025-10"
EMP-0018,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0019,Manufaktur,DKI Jakarta,Kecil,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0020,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0021,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0022,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0023,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0024,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0025,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0026,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0027,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0028,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0029,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0030,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0031,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0032,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0033,Manufaktur,DKI Jakarta,Kecil,CLEAN,-
EMP-0034,Manufaktur,DKI Jakarta,Kecil,CLEAN_MUTASI_SAH,"Headcount drop ~39% di periode 2025-08, DENGAN resign record matching (8 orang) -> true-negative test untuk confounder-handling Module A"
EMP-0035,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0036,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0037,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0038,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0039,Manufaktur,Jawa Barat,Menengah,REMITTANCE_GAP,"Actual remittance ~25% di bawah expected, berulang sejak periode 2025-07"
EMP-0040,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0041,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0042,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0043,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0044,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0045,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0046,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0047,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0048,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0049,Manufaktur,Jawa Barat,Menengah,CLEAN,-
EMP-0050,Manufaktur,Jawa Barat,Menengah,COLD_START,"Registrasi baru (2025-11), hanya 2 periode histori -> harus INSUFFICIENT_DATA di Module A"
EMP-0051,Manufaktur,Jawa Barat,Menengah,CLEAN,-
