employer_id,periode,jumlah_peserta_aktif
EMP-0001,2025-01,49
EMP-0001,2025-02,49
EMP-0001,2025-03,50
EMP-0001,2025-04,52
EMP-0001,2025-05,52
EMP-0001,2025-06,52
EMP-0001,2025-07,54
EMP-0001,2025-08,55
EMP-0001,2025-09,54
EMP-0001,2025-10,55
EMP-0001,2025-11,54
EMP-0001,2025-12,53
EMP-0002,2025-01,29
EMP-0002,2025-02,28
EMP-0002,2025-03,27
EMP-0002,2025-04,27
EMP-0002,2025-05,26
EMP-0002,2025-06,26
EMP-0002,2025-07,26
EMP-0002,2025-08,25
EMP-0002,2025-09,26
EMP-0002,2025-10,26
EMP-0002,2025-11,26
EMP-0002,2025-12,25
EMP-0003,2025-01,55
EMP-0003,2025-02,55
EMP-0003,2025-03,54
EMP-0003,2025-04,54
EMP-0003,2025-05,53
EMP-0003,2025-06,53
EMP-0003,2025-07,52
EMP-0003,2025-08,54
EMP-0003,2025-09,54
EMP-0003,2025-10,53
EMP-0003,2025-11,54
EMP-0003,2025-12,53
EMP-0004,2025-01,24
EMP-0004,2025-02,23
EMP-0004,2025-03,22
EMP-0004,2025-04,22
EMP-0004,2025-05,22
EMP-0004,2025-06,22
EMP-0004,2025-07,22
EMP-0004,2025-08,22
EMP-0004,2025-09,21
EMP-0004,2025-10,21
EMP-0004,2025-11,21
EMP-0004,2025-12,21
EMP-0005,2025-01,32
EMP-0005,2025-02,31
EMP-0005,2025-03,31
EMP-0005,2025-04,31
EMP-0005,2025-05,31
EMP-0005,2025-06,31
EMP-0005,2025-07,32
EMP-0005,2025-08,33
EMP-0005,2025-09,32
EMP-0005,2025-10,32
EMP-0005,2025-11,32
EMP-0005,2025-12,33
EMP-0006,2025-01,24
EMP-0006,2025-02,24
EMP-0006,2025-03,23
EMP-0006,2025-04,22
EMP-0006,2025-05,22
EMP-0006,2025-06,23
EMP-0006,2025-07,23
EMP-0006,2025-08,23
EMP-0006,2025-09,23
EMP-0006,2025-10,23
EMP-0006,2025-11,23
EMP-0006,2025-12,24
EMP-0007,2025-01,19
EMP-0007,2025-02,20
EMP-0007,2025-03,19
EMP-0007,2025-04,19
EMP-0007,2025-05,19
EMP-0007,2025-06,19
EMP-0007,2025-07,19
EMP-0007,2025-08,18
EMP-0007,2025-09,18
EMP-0007,2025-10,18
EMP-0007,2025-11,19
EMP-0007,2025-12,19
EMP-0008,2025-01,18
EMP-0008,2025-02,18
EMP-0008,2025-03,18
EMP-0008,2025-04,18
EMP-0008,2025-05,18
EMP-0008,2025-06,18
EMP-0008,2025-07,18
EMP-0008,2025-08,18
EMP-0008,2025-09,18
EMP-0008,2025-10,18
EMP-0008,2025-11,18
EMP-0008,2025-12,17
EMP-0009,2025-01,25
EMP-0009,2025-02,25
EMP-0009,2025-03,25
EMP-0009,2025-04,25
EMP-0009,2025-05,24
EMP-0009,2025-06,24
EMP-0009,2025-07,24
EMP-0009,2025-08,24
EMP-0009,2025-09,24
EMP-0009,2025-10,24
EMP-0009,2025-11,25
EMP-0009,2025-12,25
EMP-0010,2025-01,34
EMP-0010,2025-02,34
EMP-0010,2025-03,33
EMP-0010,2025-04,33
EMP-0010,2025-05,33
EMP-0010,2025-06,35
EMP-0010,2025-07,35
EMP-0010,2025-08,35
EMP-0010,2025-09,35
EMP-0010,2025-10,34
EMP-0010,2025-11,35
EMP-0010,2025-12,36
EMP-0011,2025-01,54
EMP-0011,2025-02,53
EMP-0011,2025-03,54
EMP-0011,2025-04,52
EMP-0011,2025-05,53
EMP-0011,2025-06,55
EMP-0011,2025-07,54
EMP-0011,2025-08,53
EMP-0011,2025-09,53
EMP-0011,2025-10,52
EMP-0011,2025-11,50
EMP-0011,2025-12,50
EMP-0012,2025-01,50
EMP-0012,2025-02,50
EMP-0012,2025-03,49
EMP-0012,2025-04,51
EMP-0012,2025-05,50
EMP-0012,2025-06,50
EMP-0012,2025-07,51
EMP-0012,2025-08,50
EMP-0012,2025-09,50
EMP-0012,2025-10,51
EMP-0012,2025-11,49
EMP-0012,2025-12,49
EMP-0013,2025-01,33
EMP-0013,2025-02,34
EMP-0013,2025-03,33
EMP-0013,2025-04,32
EMP-0013,2025-05,32
EMP-0013,2025-06,32
EMP-0013,2025-07,32
EMP-0013,2025-08,32
EMP-0013,2025-09,32
EMP-0013,2025-10,32
EMP-0013,2025-11,32
EMP-0013,2025-12,32
EMP-0014,2025-01,45
EMP-0014,2025-02,45
EMP-0014,2025-03,44
EMP-0014,2025-04,45
EMP-0014,2025-05,44
EMP-0014,2025-06,45
EMP-0014,2025-07,46
EMP-0014,2025-08,45
EMP-0014,2025-09,46
EMP-0014,2025-10,46
EMP-0014,2025-11,47
EMP-0014,2025-12,49
EMP-0015,2025-01,22
EMP-0015,2025-02,22
EMP-0015,2025-03,22
EMP-0015,2025-04,22
EMP-0015,2025-05,22
EMP-0015,2025-06,22
EMP-0015,2025-07,22
EMP-0015,2025-08,22
EMP-0015,2025-09,22
EMP-0015,2025-10,23
EMP-0015,2025-11,23
EMP-0015,2025-12,24
EMP-0016,2025-01,45
EMP-0016,2025-02,44
EMP-0016,2025-03,43
EMP-0016,2025-04,43
EMP-0016,2025-05,43
EMP-0016,2025-06,44
EMP-0016,2025-07,44
EMP-0016,2025-08,44
EMP-0016,2025-09,43
EMP-0016,2025-10,42
EMP-0016,2025-11,42
EMP-0016,2025-12,43
EMP-0017,2025-01,59
EMP-0017,2025-02,58
EMP-0017,2025-03,58
EMP-0017,2025-04,58
EMP-0017,2025-05,57
EMP-0017,2025-06,57
EMP-0017,2025-07,57
EMP-0017,2025-08,56
EMP-0017,2025-09,56
EMP-0017,2025-10,57
EMP-0017,2025-11,58
EMP-0017,2025-12,59
EMP-0018,2025-01,33
EMP-0018,2025-02,32
EMP-0018,2025-03,32
EMP-0018,2025-04,32
EMP-0018,2025-05,32
EMP-0018,2025-06,34
EMP-0018,2025-07,34
EMP-0018,2025-08,35
EMP-0018,2025-09,36
EMP-0018,2025-10,36
EMP-0018,2025-11,36
EMP-0018,2025-12,37
EMP-0019,2025-11,58
EMP-0019,2025-12,58
EMP-0020,2025-01,40
EMP-0020,2025-02,40
EMP-0020,2025-03,42
EMP-0020,2025-04,40
EMP-0020,2025-05,41
EMP-0020,2025-06,40
EMP-0020,2025-07,40
EMP-0020,2025-08,41
EMP-0020,2025-09,41
EMP-0020,2025-10,40
EMP-0020,2025-11,39
EMP-0020,2025-12,40
EMP-0021,2025-01,32
EMP-0021,2025-02,32
EMP-0021,2025-03,32
EMP-0021,2025-04,32
EMP-0021,2025-05,33
EMP-0021,2025-06,33
EMP-0021,2025-07,32
EMP-0021,2025-08,32
EMP-0021,2025-09,32
EMP-0021,2025-10,33
EMP-0021,2025-11,32
EMP-0021,2025-12,32
EMP-0022,2025-01,47
EMP-0022,2025-02,48
EMP-0022,2025-03,47
EMP-0022,2025-04,47
EMP-0022,2025-05,47
EMP-0022,2025-06,46
EMP-0022,2025-07,48
EMP-0022,2025-08,48
EMP-0022,2025-09,47
EMP-0022,2025-10,48
EMP-0022,2025-11,50
EMP-0022,2025-12,51
EMP-0023,2025-01,48
EMP-0023,2025-02,48
EMP-0023,2025-03,49
EMP-0023,2025-04,48
EMP-0023,2025-05,48
EMP-0023,2025-06,49
EMP-0023,2025-07,48
EMP-0023,2025-08,48
EMP-0023,2025-09,45
EMP-0023,2025-10,44
EMP-0023,2025-11,44
EMP-0023,2025-12,43
EMP-0024,2025-01,48
EMP-0024,2025-02,47
EMP-0024,2025-03,47
EMP-0024,2025-04,47
EMP-0024,2025-05,48
EMP-0024,2025-06,47
EMP-0024,2025-07,48
EMP-0024,2025-08,48
EMP-0024,2025-09,47
EMP-0024,2025-10,47
EMP-0024,2025-11,47
EMP-0024,2025-12,46
EMP-0025,2025-01,43
EMP-0025,2025-02,43
EMP-0025,2025-03,43
EMP-0025,2025-04,44
EMP-0025,2025-05,45
EMP-0025,2025-06,44
EMP-0025,2025-07,46
EMP-0025,2025-08,44
EMP-0025,2025-09,44
EMP-0025,2025-10,45
EMP-0025,2025-11,45
EMP-0025,2025-12,44
EMP-0026,2025-01,20
EMP-0026,2025-02,20
EMP-0026,2025-03,20
EMP-0026,2025-04,20
EMP-0026,2025-05,20
EMP-0026,2025-06,20
EMP-0026,2025-07,20
EMP-0026,2025-08,20
EMP-0026,2025-09,20
EMP-0026,2025-10,20
EMP-0026,2025-11,20
EMP-0026,2025-12,20
EMP-0027,2025-01,54
EMP-0027,2025-02,55
EMP-0027,2025-03,55
EMP-0027,2025-04,55
EMP-0027,2025-05,56
EMP-0027,2025-06,55
EMP-0027,2025-07,56
EMP-0027,2025-08,56
EMP-0027,2025-09,56
EMP-0027,2025-10,57
EMP-0027,2025-11,58
EMP-0027,2025-12,59
EMP-0028,2025-01,17
EMP-0028,2025-02,17
EMP-0028,2025-03,17
EMP-0028,2025-04,17
EMP-0028,2025-05,17
EMP-0028,2025-06,17
EMP-0028,2025-07,17
EMP-0028,2025-08,17
EMP-0028,2025-09,17
EMP-0028,2025-10,18
EMP-0028,2025-11,18
EMP-0028,2025-12,18
EMP-0029,2025-01,43
EMP-0029,2025-02,44
EMP-0029,2025-03,45
EMP-0029,2025-04,46
EMP-0029,2025-05,46
EMP-0029,2025-06,45
EMP-0029,2025-07,45
EMP-0029,2025-08,44
EMP-0029,2025-09,45
EMP-0029,2025-10,45
EMP-0029,2025-11,44
EMP-0029,2025-12,44
EMP-0030,2025-01,35
EMP-0030,2025-02,35
EMP-0030,2025-03,34
EMP-0030,2025-04,34
EMP-0030,2025-05,34
EMP-0030,2025-06,34
EMP-0030,2025-07,34
EMP-0030,2025-08,34
EMP-0030,2025-09,33
