rank,employer_id,n_periods,n_gap_periods,longest_run,n_late_paid,total_expected,total_actual,total_shortfall,median_gap_pct,run_start,run_end,first_gap_period,cum_shortfall_pct,status,reason,score_c,score_c_norm
1,EMP-0399,12,8,8,0,1023398000.0,834824000.0,190265000.0,0.27470900894194716,2025-05,2025-12,2025-05,0.18591496172554567,FLAGGED,Setoran iuran rata-rata 27% di bawah yang seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12); total kekurangan Rp190.265.000.,0.2747,1.0
2,EMP-0393,12,7,7,0,947226000.0,805307000.0,142225000.0,0.2651710187568959,2025-06,2025-12,2025-06,0.15014896128273506,FLAGGED,Setoran iuran rata-rata 27% di bawah yang seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12); total kekurangan Rp142.225.000.,0.2652,1.0
3,EMP-0580,12,5,5,0,1048836000.0,918611000.0,129254000.0,0.29994009655026604,2025-08,2025-12,2025-08,0.12323566315420142,FLAGGED,Setoran iuran rata-rata 30% di bawah yang seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12); total kekurangan Rp129.254.000.,0.2999,1.0
4,EMP-0299,12,5,5,0,783372000.0,693637000.0,86429000.0,0.27055019214546816,2025-08,2025-12,2025-08,0.11032944756769453,FLAGGED,Setoran iuran rata-rata 27% di bawah yang seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12); total kekurangan Rp86.429.000.,0.2706,1.0
5,EMP-0679,12,3,3,0,778410000.0,724380000.0,55948000.0,0.28909745716468405,2025-10,2025-12,2025-10,0.0718747189784304,FLAGGED,Setoran iuran rata-rata 29% di bawah yang seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12); total kekurangan Rp55.948.000.,0.2891,1.0
6,EMP-0462,12,8,8,0,241137000.0,192990000.0,47886000.0,0.29776244972036847,2025-05,2025-12,2025-05,0.19858420731783177,FLAGGED,Setoran iuran rata-rata 30% di bawah yang seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12); total kekurangan Rp47.886.000.,0.2978,1.0
7,EMP-0648,12,5,5,0,321234000.0,284847000.0,35872000.0,0.2653772630158552,2025-08,2025-12,2025-08,0.11166937497276129,FLAGGED,Setoran iuran rata-rata 27% di bawah yang seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12); total kekurangan Rp35.872.000.,0.2654,1.0
8,EMP-0361,12,4,4,0,245372000.0,222442000.0,22673000.0,0.2842397856666482,2025-09,2025-12,2025-09,0.09240255611887258,FLAGGED,Setoran iuran rata-rata 28% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp22.673.000.,0.2842,1.0
9,EMP-0039,12,6,6,0,143780000.0,126347000.0,17561000.0,0.24634811794731476,2025-07,2025-12,2025-07,0.1221379885936848,FLAGGED,Setoran iuran rata-rata 25% di bawah yang seharusnya selama 6 bulan berturut-turut (2025-07 s/d 2025-12); total kekurangan Rp17.561.000.,0.2463,0.992
10,EMP-0698,12,5,4,0,4512853000.0,4112073000.0,395429000.0,0.24596915750431195,2025-09,2025-12,2025-02,0.0876228408060267,FLAGGED,Setoran iuran rata-rata 25% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp395.429.000. Ada 1 bulan lain yang juga kurang setor.,0.246,0.991
11,EMP-0354,12,4,4,0,254965000.0,234583000.0,20036000.0,0.2358403756500727,2025-09,2025-12,2025-09,0.07858333496754456,FLAGGED,Setoran iuran rata-rata 24% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp20.036.000.,0.2358,0.969
12,EMP-0387,12,6,6,0,811444000.0,721244000.0,92632000.0,0.22631125832229043,2025-07,2025-12,2025-07,0.11415698433903017,FLAGGED,Setoran iuran rata-rata 23% di bawah yang seharusnya selama 6 bulan berturut-turut (2025-07 s/d 2025-12); total kekurangan Rp92.632.000.,0.2263,0.949
13,EMP-0017,12,3,3,0,139569000.0,131933000.0,7797000.0,0.22179089026915114,2025-10,2025-12,2025-10,0.05586484104636416,FLAGGED,Setoran iuran rata-rata 22% di bawah yang seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12); total kekurangan Rp7.797.000.,0.2218,0.939
14,EMP-0684,12,5,5,0,3475315000.0,3160477000.0,318770000.0,0.21987641606591143,2025-08,2025-12,2025-08,0.09172405954568147,FLAGGED,Setoran iuran rata-rata 22% di bawah yang seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12); total kekurangan Rp318.770.000.,0.2199,0.935
15,EMP-0595,12,7,7,0,1435498000.0,1256279000.0,180170000.0,0.2148930134195301,2025-06,2025-12,2025-06,0.12551045003197497,FLAGGED,Setoran iuran rata-rata 21% di bawah yang seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12); total kekurangan Rp180.170.000.,0.2149,0.924
16,EMP-0431,12,5,4,0,36588000.0,34068000.0,2480000.0,0.20163209792587555,2025-09,2025-12,2025-04,0.06778178637804745,FLAGGED,Setoran iuran rata-rata 20% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp2.480.000. Ada 1 bulan lain yang juga kurang setor.,0.2016,0.895
17,EMP-0350,12,7,7,0,480975000.0,430143000.0,52816000.0,0.18551048136645962,2025-06,2025-12,2025-06,0.10981028119964654,FLAGGED,Setoran iuran rata-rata 19% di bawah yang seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12); total kekurangan Rp52.816.000.,0.1855,0.86
18,EMP-0887,12,3,3,0,1523127000.0,1453337000.0,66139000.0,0.18382117097482545,2025-10,2025-12,2025-10,0.04342316825845777,FLAGGED,Setoran iuran rata-rata 18% di bawah yang seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12); total kekurangan Rp66.139.000.,0.1838,0.856
19,EMP-0915,12,3,3,0,1377666000.0,1318846000.0,60630000.0,0.176114498585461,2025-10,2025-12,2025-10,0.04400921558636128,FLAGGED,Setoran iuran rata-rata 18% di bawah yang seharusnya selama 3 bulan berturut-turut (2025-10 s/d 2025-12); total kekurangan Rp60.630.000.,0.1761,0.839
20,EMP-0077,12,7,7,0,936715000.0,844436000.0,96015000.0,0.17429462257977596,2025-06,2025-12,2025-06,0.10250182819747736,FLAGGED,Setoran iuran rata-rata 17% di bawah yang seharusnya selama 7 bulan berturut-turut (2025-06 s/d 2025-12); total kekurangan Rp96.015.000.,0.1743,0.835
21,EMP-0561,12,4,4,0,432757000.0,408305000.0,25497000.0,0.17294750353407892,2025-09,2025-12,2025-09,0.058917591165480857,FLAGGED,Setoran iuran rata-rata 17% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp25.497.000.,0.1729,0.832
22,EMP-0230,12,4,4,0,48889000.0,46050000.0,2984000.0,0.16944410252407288,2025-09,2025-12,2025-09,0.06103622491767064,FLAGGED,Setoran iuran rata-rata 17% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp2.984.000.,0.1694,0.825
23,EMP-0002,12,4,4,0,62577000.0,59327000.0,3269000.0,0.16105426065171502,2025-09,2025-12,2025-09,0.0522396407625805,FLAGGED,Setoran iuran rata-rata 16% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp3.269.000.,0.1611,0.807
24,EMP-0006,12,8,8,0,52993000.0,47491000.0,5638000.0,0.15984542067246982,2025-05,2025-12,2025-05,0.10639141018625102,FLAGGED,Setoran iuran rata-rata 16% di bawah yang seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12); total kekurangan Rp5.638.000.,0.1598,0.804
25,EMP-0189,12,5,5,0,1134218000.0,1057811000.0,73956000.0,0.15394557260432606,2025-08,2025-12,2025-08,0.06520439633298009,FLAGGED,Setoran iuran rata-rata 15% di bawah yang seharusnya selama 5 bulan berturut-turut (2025-08 s/d 2025-12); total kekurangan Rp73.956.000.,0.1539,0.791
26,EMP-0838,12,2,2,0,185584000.0,184536000.0,911000.0,0.03011973316556433,2025-01,2025-02,2025-01,0.004908828347271316,FLAGGED,Setoran iuran rata-rata 3% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02); total kekurangan Rp911.000.,0.0301,0.522
27,EMP-0994,12,2,2,0,865664000.0,859145000.0,4079000.0,0.028166139079526087,2025-06,2025-07,2025-06,0.004711989871358864,FLAGGED,Setoran iuran rata-rata 3% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-06 s/d 2025-07); total kekurangan Rp4.079.000.,0.0282,0.518
28,EMP-0568,12,2,2,0,723931000.0,720278000.0,3104000.0,0.025907075137177348,2025-01,2025-02,2025-01,0.004287701452210225,FLAGGED,Setoran iuran rata-rata 3% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-01 s/d 2025-02); total kekurangan Rp3.104.000.,0.0259,0.513
29,EMP-0195,12,2,2,0,1935899000.0,1935614000.0,8169000.0,0.02568611341063291,2025-04,2025-05,2025-04,0.0042197449350405165,FLAGGED,Setoran iuran rata-rata 3% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-04 s/d 2025-05); total kekurangan Rp8.169.000.,0.0257,0.512
30,EMP-0614,12,2,2,0,166926000.0,166576000.0,737000.0,0.024102870906038312,2025-03,2025-04,2025-03,0.004415130057630327,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-03 s/d 2025-04); total kekurangan Rp737.000.,0.0241,0.509
31,EMP-0606,12,2,2,0,3501658000.0,3491411000.0,13171000.0,0.02333135646530654,2025-03,2025-04,2025-03,0.003761361046681315,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-03 s/d 2025-04); total kekurangan Rp13.171.000.,0.0233,0.507
32,EMP-0870,12,2,2,0,185904000.0,185478000.0,701000.0,0.022517333244828415,2025-11,2025-12,2025-11,0.0037707634047680523,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-11 s/d 2025-12); total kekurangan Rp701.000.,0.0225,0.505
33,EMP-0479,12,2,2,0,1479702000.0,1477113000.0,5009000.0,0.021948020050211677,2025-02,2025-03,2025-02,0.003385141062186846,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-02 s/d 2025-03); total kekurangan Rp5.009.000.,0.0219,0.504
34,EMP-0856,12,2,2,0,208783000.0,208924000.0,706000.0,0.02110507284170718,2025-10,2025-11,2025-10,0.003381501367448499,FLAGGED,Setoran iuran rata-rata 2% di bawah yang seharusnya selama 2 bulan berturut-turut (2025-10 s/d 2025-11); total kekurangan Rp706.000.,0.0211,0.502
