TOL_PCT,MIN_CONSECUTIVE,tp,fp,fn,precision,recall,false_positive_rate
0.005,1,25,957,0,0.025,1.0,0.962
0.005,2,25,544,0,0.044,1.0,0.547
0.005,3,25,186,0,0.118,1.0,0.187
0.01,1,25,857,0,0.028,1.0,0.861
0.01,2,25,226,0,0.1,1.0,0.227
0.01,3,25,26,0,0.49,1.0,0.026
0.02,1,25,279,0,0.082,1.0,0.28
0.02,2,25,10,0,0.714,1.0,0.01
0.02,3,25,0,0,1.0,1.0,0.0
0.05,1,25,0,0,1.0,1.0,0.0
0.05,2,25,0,0,1.0,1.0,0.0
0.05,3,25,0,0,1.0,1.0,0.0
0.1,1,25,0,0,1.0,1.0,0.0
0.1,2,25,0,0,1.0,1.0,0.0
0.1,3,25,0,0,1.0,1.0,0.0
