rank,employer_id,sektor,wilayah,skala,status_A,score_A,status_B,score_B,status_C,score_C,coverage,composite_score,max_module_score,n_flags,band,summary
1,EMP-0492,Perdagangan & Ritel,Sulawesi Selatan,Besar,FLAGGED,1.0,NORMAL,0.252,ONE_OFF_GAP,0.49,3,0.581,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 48% (506→261) pada 2025-06, hanya 1 resign tercatat."
2,EMP-0963,Perkebunan & Agribisnis,Sumatera Utara,Menengah,FLAGGED,1.0,NORMAL,0.209,ONE_OFF_GAP,0.49,3,0.566,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 32% (206→140) pada 2025-06, hanya 1 resign tercatat."
3,EMP-0150,Manufaktur,Sulawesi Selatan,Menengah,FLAGGED,1.0,NORMAL,0.121,ONE_OFF_GAP,0.49,3,0.537,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 48% (184→95) pada 2025-09, hanya 1 resign tercatat."
4,EMP-0415,Perdagangan & Ritel,Jawa Timur,Kecil,FLAGGED,1.0,NORMAL,0.086,ONE_OFF_GAP,0.49,3,0.525,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 50% (56→28) pada 2025-08, hanya 1 resign tercatat."
5,EMP-0317,Konstruksi,Sulawesi Selatan,Kecil,FLAGGED,1.0,NORMAL,0.043,ONE_OFF_GAP,0.49,3,0.511,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 38% (47→29) pada 2025-09, tidak ada resign record yang cocok."
6,EMP-0114,Manufaktur,Sumatera Utara,Kecil,NORMAL,0.0,FLAGGED,1.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 38% di bawah median cohort sektor Manufaktur, wilayah Sumatera Utara, skala Kecil."
7,EMP-0211,Konstruksi,Jawa Barat,Kecil,FLAGGED,1.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 35% (31→20) pada 2025-08, tidak ada resign record yang cocok."
8,EMP-0362,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,FLAGGED,1.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 32% di bawah median cohort sektor Perdagangan & Ritel, wilayah DKI Jakarta, skala Menengah."
9,EMP-0373,Perdagangan & Ritel,DKI Jakarta,Menengah,NORMAL,0.0,FLAGGED,1.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 33% di bawah median cohort sektor Perdagangan & Ritel, wilayah DKI Jakarta, skala Menengah."
10,EMP-0436,Perdagangan & Ritel,Jawa Timur,Kecil,FLAGGED,1.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 54% (24→11) pada 2025-07, hanya 1 resign tercatat."
11,EMP-0473,Perdagangan & Ritel,Sumatera Utara,Menengah,NORMAL,0.0,FLAGGED,1.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Upah 39% di bawah median cohort sektor Perdagangan & Ritel, wilayah Sumatera Utara, skala Menengah."
12,EMP-0500,Perdagangan & Ritel,Sulawesi Selatan,Besar,FLAGGED,1.0,NORMAL,0.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 51% (776→377) pada 2025-09, hanya 1 resign tercatat."
13,EMP-0632,Jasa Keuangan,Sumatera Utara,Kecil,FLAGGED,1.0,NOT_CANDIDATE,0.0,ONE_OFF_GAP,0.49,3,0.497,1.0,1,Tinggi,"Prioritas tinggi — 1 dari 3 modul menunjukkan indikasi: Headcount turun 37% (52→33) pada 2025-09, tidak ada resign record yang cocok."
