employer_id,periode,rata2_DPI
EMP-0001,2025-01,4993700.0
EMP-0001,2025-02,4820000.0
EMP-0001,2025-03,4817900.0
EMP-0001,2025-04,4884900.0
EMP-0001,2025-05,4870600.0
EMP-0001,2025-06,4935500.0
EMP-0001,2025-07,4820600.0
EMP-0001,2025-08,4883600.0
EMP-0001,2025-09,4884800.0
EMP-0001,2025-10,4808400.0
EMP-0001,2025-11,4824500.0
EMP-0001,2025-12,4831900.0
EMP-0002,2025-01,4953400.0
EMP-0002,2025-02,4833000.0
EMP-0002,2025-03,4908800.0
EMP-0002,2025-04,5068000.0
EMP-0002,2025-05,4927300.0
EMP-0002,2025-06,4895000.0
EMP-0002,2025-07,4955400.0
EMP-0002,2025-08,4975500.0
EMP-0002,2025-09,4885500.0
EMP-0002,2025-10,4956200.0
EMP-0002,2025-11,4894900.0
EMP-0002,2025-12,4972200.0
EMP-0003,2025-01,4641500.0
EMP-0003,2025-02,4775300.0
EMP-0003,2025-03,4710500.0
EMP-0003,2025-04,4609400.0
EMP-0003,2025-05,4687600.0
EMP-0003,2025-06,4786700.0
EMP-0003,2025-07,4590400.0
EMP-0003,2025-08,4653300.0
EMP-0003,2025-09,4736000.0
EMP-0003,2025-10,4825900.0
EMP-0003,2025-11,4797200.0
EMP-0003,2025-12,4832700.0
EMP-0004,2025-01,4768000.0
EMP-0004,2025-02,4826800.0
EMP-0004,2025-03,4792500.0
EMP-0004,2025-04,4800900.0
EMP-0004,2025-05,4730000.0
EMP-0004,2025-06,4866800.0
EMP-0004,2025-07,4712400.0
EMP-0004,2025-08,4715800.0
EMP-0004,2025-09,4822000.0
EMP-0004,2025-10,4910900.0
EMP-0004,2025-11,4770200.0
EMP-0004,2025-12,4846000.0
EMP-0005,2025-01,5015900.0
EMP-0005,2025-02,5097900.0
EMP-0005,2025-03,5030700.0
EMP-0005,2025-04,4874000.0
EMP-0005,2025-05,4959200.0
EMP-0005,2025-06,4978800.0
EMP-0005,2025-07,4984500.0
EMP-0005,2025-08,5115200.0
EMP-0005,2025-09,5089000.0
EMP-0005,2025-10,5075700.0
EMP-0005,2025-11,5215900.0
EMP-0005,2025-12,5152600.0
EMP-0006,2025-01,4724200.0
EMP-0006,2025-02,4804100.0
EMP-0006,2025-03,4770600.0
EMP-0006,2025-04,4757900.0
EMP-0006,2025-05,4865000.0
EMP-0006,2025-06,4801100.0
EMP-0006,2025-07,4704600.0
EMP-0006,2025-08,4747700.0
EMP-0006,2025-09,4748400.0
EMP-0006,2025-10,4759600.0
EMP-0006,2025-11,4933900.0
EMP-0006,2025-12,4780300.0
EMP-0007,2025-01,4915700.0
EMP-0007,2025-02,4792700.0
EMP-0007,2025-03,4902400.0
EMP-0007,2025-04,4811400.0
EMP-0007,2025-05,5015000.0
EMP-0007,2025-06,4801900.0
EMP-0007,2025-07,4842900.0
EMP-0007,2025-08,4947200.0
EMP-0007,2025-09,5029200.0
EMP-0007,2025-10,4941800.0
EMP-0007,2025-11,4853600.0
EMP-0007,2025-12,4960500.0
EMP-0008,2025-01,5015900.0
EMP-0008,2025-02,5055900.0
EMP-0008,2025-03,5160600.0
EMP-0008,2025-04,5208200.0
EMP-0008,2025-05,5145800.0
EMP-0008,2025-06,5187200.0
EMP-0008,2025-07,5180100.0
EMP-0008,2025-08,5164700.0
EMP-0008,2025-09,5075100.0
EMP-0008,2025-10,5139100.0
EMP-0008,2025-11,5060500.0
EMP-0008,2025-12,5127100.0
EMP-0009,2025-01,5131300.0
EMP-0009,2025-02,5089900.0
EMP-0009,2025-03,5116000.0
EMP-0009,2025-04,4993400.0
EMP-0009,2025-05,5124000.0
EMP-0009,2025-06,4987200.0
EMP-0009,2025-07,5158600.0
EMP-0009,2025-08,5158700.0
EMP-0009,2025-09,5111800.0
EMP-0009,2025-10,5108900.0
EMP-0009,2025-11,5068200.0
EMP-0009,2025-12,5039200.0
EMP-0010,2025-01,4955800.0
EMP-0010,2025-02,5060500.0
EMP-0010,2025-03,4896900.0
EMP-0010,2025-04,5154400.0
EMP-0010,2025-05,5153600.0
EMP-0010,2025-06,5028100.0
EMP-0010,2025-07,5032800.0
EMP-0010,2025-08,5055500.0
EMP-0010,2025-09,5064900.0
EMP-0010,2025-10,5070600.0
EMP-0010,2025-11,5103300.0
EMP-0010,2025-12,5047900.0
EMP-0011,2025-01,5083400.0
EMP-0011,2025-02,5093600.0
EMP-0011,2025-03,5017700.0
EMP-0011,2025-04,4872100.0
EMP-0011,2025-05,5004300.0
EMP-0011,2025-06,4981600.0
EMP-0011,2025-07,5072400.0
EMP-0011,2025-08,5065500.0
EMP-0011,2025-09,5028300.0
EMP-0011,2025-10,5181800.0
EMP-0011,2025-11,5000400.0
EMP-0011,2025-12,4880300.0
EMP-0012,2025-01,5097900.0
EMP-0012,2025-02,4992600.0
EMP-0012,2025-03,4940400.0
EMP-0012,2025-04,5030000.0
EMP-0012,2025-05,5071100.0
EMP-0012,2025-06,5091600.0
EMP-0012,2025-07,5139900.0
EMP-0012,2025-08,5244100.0
EMP-0012,2025-09,5041100.0
EMP-0012,2025-10,4972300.0
EMP-0012,2025-11,5056300.0
EMP-0012,2025-12,5002200.0
EMP-0013,2025-01,4895400.0
EMP-0013,2025-02,5013600.0
EMP-0013,2025-03,4748800.0
EMP-0013,2025-04,4989000.0
EMP-0013,2025-05,4846000.0
EMP-0013,2025-06,4854300.0
EMP-0013,2025-07,4923500.0
EMP-0013,2025-08,4923000.0
EMP-0013,2025-09,4945200.0
EMP-0013,2025-10,4961100.0
EMP-0013,2025-11,4858000.0
EMP-0013,2025-12,4962000.0
EMP-0014,2025-01,4953300.0
EMP-0014,2025-02,4831700.0
EMP-0014,2025-03,4761900.0
EMP-0014,2025-04,4882700.0
EMP-0014,2025-05,4827800.0
EMP-0014,2025-06,4918000.0
EMP-0014,2025-07,4807300.0
EMP-0014,2025-08,4815600.0
EMP-0014,2025-09,4724300.0
EMP-0014,2025-10,4884500.0
EMP-0014,2025-11,4860300.0
EMP-0014,2025-12,4785200.0
EMP-0015,2025-01,5231500.0
EMP-0015,2025-02,5168300.0
EMP-0015,2025-03,5117100.0
EMP-0015,2025-04,5120300.0
EMP-0015,2025-05,5063600.0
EMP-0015,2025-06,5339500.0
EMP-0015,2025-07,5239600.0
EMP-0015,2025-08,5200400.0
EMP-0015,2025-09,5053000.0
EMP-0015,2025-10,5118800.0
EMP-0015,2025-11,5078400.0
EMP-0015,2025-12,5163600.0
EMP-0016,2025-01,4829400.0
EMP-0016,2025-02,4768000.0
EMP-0016,2025-03,4945300.0
EMP-0016,2025-04,4980000.0
EMP-0016,2025-05,4934400.0
EMP-0016,2025-06,4955800.0
EMP-0016,2025-07,4838000.0
EMP-0016,2025-08,4816700.0
EMP-0016,2025-09,4806300.0
EMP-0016,2025-10,4910100.0
EMP-0016,2025-11,4879700.0
EMP-0016,2025-12,4857500.0
EMP-0017,2025-01,4966800.0
EMP-0017,2025-02,5076200.0
EMP-0017,2025-03,5062900.0
EMP-0017,2025-04,4965700.0
EMP-0017,2025-05,5099800.0
EMP-0017,2025-06,5102100.0
EMP-0017,2025-07,5170300.0
EMP-0017,2025-08,5143500.0
EMP-0017,2025-09,4946900.0
EMP-0017,2025-10,5084400.0
EMP-0017,2025-11,5080900.0
EMP-0017,2025-12,4988600.0
EMP-0018,2025-01,5006600.0
EMP-0018,2025-02,4903600.0
EMP-0018,2025-03,4958500.0
EMP-0018,2025-04,4855100.0
EMP-0018,2025-05,4918600.0
EMP-0018,2025-06,4933200.0
EMP-0018,2025-07,4728300.0
EMP-0018,2025-08,4842800.0
EMP-0018,2025-09,4942500.0
EMP-0018,2025-10,4893100.0
EMP-0018,2025-11,4785600.0
EMP-0018,2025-12,4695400.0
EMP-0019,2025-11,5136300.0
EMP-0019,2025-12,5337600.0
EMP-0020,2025-01,4669800.0
EMP-0020,2025-02,4742700.0
EMP-0020,2025-03,4768500.0
EMP-0020,2025-04,4780200.0
EMP-0020,2025-05,4565300.0
EMP-0020,2025-06,4639200.0
EMP-0020,2025-07,4710900.0
EMP-0020,2025-08,4773200.0
EMP-0020,2025-09,4767300.0
EMP-0020,2025-10,4766000.0
EMP-0020,2025-11,4705300.0
EMP-0020,2025-12,4709300.0
EMP-0021,2025-01,4786200.0
EMP-0021,2025-02,4681000.0
EMP-0021,2025-03,4789400.0
EMP-0021,2025-04,4668000.0
EMP-0021,2025-05,4689100.0
EMP-0021,2025-06,4629600.0
EMP-0021,2025-07,4627500.0
EMP-0021,2025-08,4667300.0
EMP-0021,2025-09,4730700.0
EMP-0021,2025-10,4662000.0
EMP-0021,2025-11,4838900.0
EMP-0021,2025-12,4666300.0
EMP-0022,2025-01,5087600.0
EMP-0022,2025-02,5129400.0
EMP-0022,2025-03,5083000.0
EMP-0022,2025-04,5137200.0
EMP-0022,2025-05,5244200.0
EMP-0022,2025-06,5200200.0
EMP-0022,2025-07,5165800.0
EMP-0022,2025-08,5087900.0
EMP-0022,2025-09,5183400.0
EMP-0022,2025-10,4996100.0
EMP-0022,2025-11,5106400.0
EMP-0022,2025-12,5170700.0
