employer_id,periode,expected_contribution,actual_remittance
EMP-0001,2025-01,9788000.0,9716000.0
EMP-0001,2025-02,9447000.0,9520000.0
EMP-0001,2025-03,9636000.0,9658000.0
EMP-0001,2025-04,10161000.0,10339000.0
EMP-0001,2025-05,10131000.0,10047000.0
EMP-0001,2025-06,10266000.0,10284000.0
EMP-0001,2025-07,10412000.0,10553000.0
EMP-0001,2025-08,10744000.0,10680000.0
EMP-0001,2025-09,10551000.0,10413000.0
EMP-0001,2025-10,10578000.0,10637000.0
EMP-0001,2025-11,10421000.0,10235000.0
EMP-0001,2025-12,10244000.0,10310000.0
EMP-0002,2025-01,5746000.0,5632000.0
EMP-0002,2025-02,5413000.0,5429000.0
EMP-0002,2025-03,5302000.0,5367000.0
EMP-0002,2025-04,5473000.0,5472000.0
EMP-0002,2025-05,5124000.0,5136000.0
EMP-0002,2025-06,5091000.0,5079000.0
EMP-0002,2025-07,5154000.0,5234000.0
EMP-0002,2025-08,4976000.0,4949000.0
EMP-0002,2025-09,5081000.0,4263000.0
EMP-0002,2025-10,5154000.0,4324000.0
EMP-0002,2025-11,5091000.0,4271000.0
EMP-0002,2025-12,4972000.0,4171000.0
EMP-0003,2025-01,10211000.0,10144000.0
EMP-0003,2025-02,10506000.0,10559000.0
EMP-0003,2025-03,10175000.0,10086000.0
EMP-0003,2025-04,9956000.0,10141000.0
EMP-0003,2025-05,9938000.0,9959000.0
EMP-0003,2025-06,10148000.0,10224000.0
EMP-0003,2025-07,9548000.0,9770000.0
EMP-0003,2025-08,10051000.0,10175000.0
EMP-0003,2025-09,10230000.0,10239000.0
EMP-0003,2025-10,10231000.0,10505000.0
EMP-0003,2025-11,10362000.0,10266000.0
EMP-0003,2025-12,10245000.0,10212000.0
EMP-0004,2025-01,4577000.0,4594000.0
EMP-0004,2025-02,4441000.0,4416000.0
EMP-0004,2025-03,4217000.0,4231000.0
EMP-0004,2025-04,4225000.0,4195000.0
EMP-0004,2025-05,4162000.0,4165000.0
EMP-0004,2025-06,4283000.0,4249000.0
EMP-0004,2025-07,4147000.0,4109000.0
EMP-0004,2025-08,4150000.0,4196000.0
EMP-0004,2025-09,4050000.0,4082000.0
EMP-0004,2025-10,4125000.0,4096000.0
EMP-0004,2025-11,4007000.0,4004000.0
EMP-0004,2025-12,4071000.0,4137000.0
EMP-0005,2025-01,6420000.0,6436000.0
EMP-0005,2025-02,6321000.0,6282000.0
EMP-0005,2025-03,6238000.0,6228000.0
EMP-0005,2025-04,6044000.0,6046000.0
EMP-0005,2025-05,6149000.0,6093000.0
EMP-0005,2025-06,6174000.0,6196000.0
EMP-0005,2025-07,6380000.0,6413000.0
EMP-0005,2025-08,6752000.0,6818000.0
EMP-0005,2025-09,6514000.0,6517000.0
EMP-0005,2025-10,6497000.0,6455000.0
EMP-0005,2025-11,6676000.0,6708000.0
EMP-0005,2025-12,6801000.0,6831000.0
EMP-0006,2025-01,4535000.0,4502000.0
EMP-0006,2025-02,4612000.0,4646000.0
EMP-0006,2025-03,4389000.0,4463000.0
EMP-0006,2025-04,4187000.0,4248000.0
EMP-0006,2025-05,4281000.0,3597000.0
EMP-0006,2025-06,4417000.0,3711000.0
EMP-0006,2025-07,4328000.0,3636000.0
EMP-0006,2025-08,4368000.0,3670000.0
EMP-0006,2025-09,4369000.0,3671000.0
EMP-0006,2025-10,4379000.0,3679000.0
EMP-0006,2025-11,4539000.0,3813000.0
EMP-0006,2025-12,4589000.0,3855000.0
EMP-0007,2025-01,3736000.0,3702000.0
EMP-0007,2025-02,3834000.0,3822000.0
EMP-0007,2025-03,3726000.0,3752000.0
EMP-0007,2025-04,3657000.0,3704000.0
EMP-0007,2025-05,3811000.0,3779000.0
EMP-0007,2025-06,3649000.0,3632000.0
EMP-0007,2025-07,3681000.0,3655000.0
EMP-0007,2025-08,3562000.0,3558000.0
EMP-0007,2025-09,3621000.0,3604000.0
EMP-0007,2025-10,3558000.0,3532000.0
EMP-0007,2025-11,3689000.0,3743000.0
EMP-0007,2025-12,3770000.0,3704000.0
EMP-0008,2025-01,3611000.0,3571000.0
EMP-0008,2025-02,3640000.0,3636000.0
EMP-0008,2025-03,3716000.0,3740000.0
EMP-0008,2025-04,3750000.0,3788000.0
EMP-0008,2025-05,3705000.0,3699000.0
EMP-0008,2025-06,3735000.0,3754000.0
EMP-0008,2025-07,3730000.0,3659000.0
EMP-0008,2025-08,3719000.0,3686000.0
EMP-0008,2025-09,3654000.0,3625000.0
EMP-0008,2025-10,3700000.0,3736000.0
EMP-0008,2025-11,3644000.0,3659000.0
EMP-0008,2025-12,3486000.0,3486000.0
EMP-0009,2025-01,5131000.0,5132000.0
EMP-0009,2025-02,5090000.0,5071000.0
EMP-0009,2025-03,5116000.0,5121000.0
EMP-0009,2025-04,4993000.0,4993000.0
EMP-0009,2025-05,4919000.0,4890000.0
EMP-0009,2025-06,4788000.0,4759000.0
EMP-0009,2025-07,4952000.0,4955000.0
EMP-0009,2025-08,4952000.0,4908000.0
EMP-0009,2025-09,4907000.0,4937000.0
EMP-0009,2025-10,4905000.0,4873000.0
EMP-0009,2025-11,5068000.0,4980000.0
EMP-0009,2025-12,5039000.0,5027000.0
EMP-0010,2025-01,6740000.0,6794000.0
EMP-0010,2025-02,6882000.0,6929000.0
EMP-0010,2025-03,6464000.0,6400000.0
EMP-0010,2025-04,6804000.0,6754000.0
EMP-0010,2025-05,6803000.0,6853000.0
EMP-0010,2025-06,7039000.0,7062000.0
EMP-0010,2025-07,7046000.0,7008000.0
EMP-0010,2025-08,7078000.0,7000000.0
EMP-0010,2025-09,7091000.0,7125000.0
EMP-0010,2025-10,6896000.0,6781000.0
EMP-0010,2025-11,7145000.0,6984000.0
EMP-0010,2025-12,7269000.0,7359000.0
EMP-0011,2025-01,10980000.0,10942000.0
EMP-0011,2025-02,10798000.0,10788000.0
EMP-0011,2025-03,10838000.0,10861000.0
EMP-0011,2025-04,10134000.0,10208000.0
EMP-0011,2025-05,10609000.0,10549000.0
EMP-0011,2025-06,10960000.0,10972000.0
EMP-0011,2025-07,10956000.0,10969000.0
EMP-0011,2025-08,10739000.0,10722000.0
EMP-0011,2025-09,10660000.0,10512000.0
EMP-0011,2025-10,10778000.0,10803000.0
EMP-0011,2025-11,10001000.0,10050000.0
EMP-0011,2025-12,9761000.0,9766000.0
EMP-0012,2025-01,10196000.0,10143000.0
EMP-0012,2025-02,9985000.0,10025000.0
EMP-0012,2025-03,9683000.0,9740000.0
EMP-0012,2025-04,10261000.0,10338000.0
EMP-0012,2025-05,10142000.0,10289000.0
EMP-0012,2025-06,10183000.0,10223000.0
EMP-0012,2025-07,10485000.0,10530000.0
EMP-0012,2025-08,10488000.0,10414000.0
EMP-0012,2025-09,10082000.0,9944000.0
EMP-0012,2025-10,10143000.0,10234000.0
EMP-0012,2025-11,9910000.0,10019000.0
EMP-0012,2025-12,9804000.0,9919000.0
EMP-0013,2025-01,6462000.0,6424000.0
EMP-0013,2025-02,6818000.0,6789000.0
EMP-0013,2025-03,6268000.0,6191000.0
EMP-0013,2025-04,6386000.0,6279000.0
EMP-0013,2025-05,6203000.0,6188000.0
EMP-0013,2025-06,6214000.0,6292000.0
EMP-0013,2025-07,6302000.0,6285000.0
EMP-0013,2025-08,6301000.0,6408000.0
EMP-0013,2025-09,6330000.0,6342000.0
EMP-0013,2025-10,6350000.0,6315000.0
EMP-0013,2025-11,6218000.0,6221000.0
EMP-0013,2025-12,6351000.0,6412000.0
EMP-0014,2025-01,8916000.0,9004000.0
EMP-0014,2025-02,8697000.0,8759000.0
EMP-0014,2025-03,8381000.0,8244000.0
EMP-0014,2025-04,8789000.0,8770000.0
EMP-0014,2025-05,8497000.0,8515000.0
EMP-0014,2025-06,8852000.0,8873000.0
EMP-0014,2025-07,8845000.0,8866000.0
EMP-0014,2025-08,8668000.0,8690000.0
EMP-0014,2025-09,8693000.0,8672000.0
EMP-0014,2025-10,8987000.0,8894000.0
EMP-0014,2025-11,9137000.0,9099000.0
EMP-0014,2025-12,9379000.0,9344000.0
EMP-0015,2025-01,4604000.0,4599000.0
EMP-0015,2025-02,4548000.0,4617000.0
EMP-0015,2025-03,4503000.0,4495000.0
EMP-0015,2025-04,4506000.0,4469000.0
EMP-0015,2025-05,4456000.0,4524000.0
EMP-0015,2025-06,4699000.0,4621000.0
EMP-0015,2025-07,4611000.0,4552000.0
EMP-0015,2025-08,4576000.0,4605000.0
EMP-0015,2025-09,4447000.0,4356000.0
EMP-0015,2025-10,4709000.0,4672000.0
EMP-0015,2025-11,4672000.0,4655000.0
EMP-0015,2025-12,4957000.0,4925000.0
EMP-0016,2025-01,8693000.0,8619000.0
EMP-0016,2025-02,8392000.0,8401000.0
EMP-0016,2025-03,8506000.0,8511000.0
EMP-0016,2025-04,8566000.0,8513000.0
EMP-0016,2025-05,8487000.0,8376000.0
EMP-0016,2025-06,8722000.0,8698000.0
EMP-0016,2025-07,8515000.0,8474000.0
EMP-0016,2025-08,8477000.0,8498000.0
EMP-0016,2025-09,8267000.0,8226000.0
EMP-0016,2025-10,8249000.0,8225000.0
EMP-0016,2025-11,8198000.0,8264000.0
EMP-0016,2025-12,8355000.0,8471000.0
EMP-0017,2025-01,11722000.0,11751000.0
EMP-0017,2025-02,11777000.0,11621000.0
EMP-0017,2025-03,11746000.0,11598000.0
EMP-0017,2025-04,11520000.0,11646000.0
EMP-0017,2025-05,11628000.0,11654000.0
EMP-0017,2025-06,11633000.0,11604000.0
EMP-0017,2025-07,11788000.0,11902000.0
EMP-0017,2025-08,11521000.0,11776000.0
EMP-0017,2025-09,11081000.0,11025000.0
EMP-0017,2025-10,11592000.0,9021000.0
EMP-0017,2025-11,11788000.0,9173000.0
EMP-0017,2025-12,11773000.0,9162000.0
EMP-0018,2025-01,6609000.0,6610000.0
EMP-0018,2025-02,6277000.0,6290000.0
EMP-0018,2025-03,6347000.0,6390000.0
EMP-0018,2025-04,6215000.0,6218000.0
EMP-0018,2025-05,6296000.0,6266000.0
EMP-0018,2025-06,6709000.0,6659000.0
EMP-0018,2025-07,6430000.0,6393000.0
EMP-0018,2025-08,6780000.0,6756000.0
EMP-0018,2025-09,7117000.0,7122000.0
EMP-0018,2025-10,7046000.0,7148000.0
EMP-0018,2025-11,6891000.0,7010000.0
EMP-0018,2025-12,6949000.0,7050000.0
EMP-0019,2025-11,11916000.0,11810000.0
EMP-0019,2025-12,12383000.0,12656000.0
EMP-0020,2025-01,7472000.0,7508000.0
EMP-0020,2025-02,7588000.0,7499000.0
EMP-0020,2025-03,8011000.0,7988000.0
EMP-0020,2025-04,7648000.0,7710000.0
EMP-0020,2025-05,7487000.0,7492000.0
EMP-0020,2025-06,7423000.0,7364000.0
EMP-0020,2025-07,7537000.0,7535000.0
EMP-0020,2025-08,7828000.0,7839000.0
EMP-0020,2025-09,7818000.0,7818000.0
EMP-0020,2025-10,7626000.0,7595000.0
EMP-0020,2025-11,7340000.0,7293000.0
EMP-0020,2025-12,7535000.0,7522000.0
EMP-0021,2025-01,6126000.0,6144000.0
EMP-0021,2025-02,5992000.0,6048000.0
EMP-0021,2025-03,6130000.0,6238000.0
EMP-0021,2025-04,5975000.0,6017000.0
EMP-0021,2025-05,6190000.0,6211000.0
EMP-0021,2025-06,6111000.0,6115000.0
EMP-0021,2025-07,5923000.0,5923000.0
EMP-0021,2025-08,5974000.0,5954000.0
EMP-0021,2025-09,6055000.0,6079000.0
EMP-0021,2025-10,6154000.0,6035000.0
EMP-0021,2025-11,6194000.0,6244000.0
EMP-0021,2025-12,5973000.0,5952000.0
EMP-0022,2025-01,9565000.0,9479000.0
EMP-0022,2025-02,9848000.0,9810000.0
EMP-0022,2025-03,9556000.0,9485000.0
EMP-0022,2025-04,9658000.0,9896000.0
EMP-0022,2025-05,9859000.0,9819000.0
EMP-0022,2025-06,9568000.0,9587000.0
EMP-0022,2025-07,9918000.0,9836000.0
EMP-0022,2025-08,9769000.0,9861000.0
EMP-0022,2025-09,9745000.0,9627000.0
EMP-0022,2025-10,9593000.0,9688000.0
EMP-0022,2025-11,10213000.0,10248000.0
EMP-0022,2025-12,10548000.0,10584000.0
EMP-0023,2025-01,9960000.0,10017000.0
EMP-0023,2025-02,9959000.0,9932000.0
EMP-0023,2025-03,10003000.0,10071000.0
EMP-0023,2025-04,9780000.0,9750000.0
EMP-0023,2025-05,9892000.0,9831000.0
EMP-0023,2025-06,10346000.0,10254000.0
EMP-0023,2025-07,9809000.0,9912000.0
EMP-0023,2025-08,9777000.0,9890000.0
EMP-0023,2025-09,9392000.0,9591000.0
EMP-0023,2025-10,9033000.0,9009000.0
EMP-0023,2025-11,9141000.0,9100000.0
EMP-0023,2025-12,9013000.0,8963000.0
EMP-0024,2025-01,9437000.0,9292000.0
EMP-0024,2025-02,9286000.0,9318000.0
EMP-0024,2025-03,9281000.0,9299000.0
EMP-0024,2025-04,9326000.0,9289000.0
EMP-0024,2025-05,9488000.0,9607000.0
EMP-0024,2025-06,9139000.0,9058000.0
EMP-0024,2025-07,9457000.0,9359000.0
EMP-0024,2025-08,9521000.0,9599000.0
EMP-0024,2025-09,9508000.0,9602000.0
EMP-0024,2025-10,9645000.0,9594000.0
EMP-0024,2025-11,9523000.0,9224000.0
EMP-0024,2025-12,9031000.0,9009000.0
EMP-0025,2025-01,8457000.0,8398000.0
EMP-0025,2025-02,8378000.0,8558000.0
EMP-0025,2025-03,8369000.0,8484000.0
EMP-0025,2025-04,8854000.0,8827000.0
EMP-0025,2025-05,8947000.0,8955000.0
EMP-0025,2025-06,8559000.0,8623000.0
EMP-0025,2025-07,9068000.0,9082000.0
EMP-0025,2025-08,8351000.0,8345000.0
EMP-0025,2025-09,8485000.0,8570000.0
EMP-0025,2025-10,8755000.0,8869000.0
EMP-0025,2025-11,8752000.0,8880000.0
EMP-0025,2025-12,8815000.0,8872000.0
EMP-0026,2025-01,4040000.0,4068000.0
EMP-0026,2025-02,3903000.0,3928000.0
EMP-0026,2025-03,3960000.0,3957000.0
EMP-0026,2025-04,3982000.0,3996000.0
EMP-0026,2025-05,4035000.0,4011000.0
EMP-0026,2025-06,3937000.0,3881000.0
EMP-0026,2025-07,3914000.0,3923000.0
EMP-0026,2025-08,3956000.0,4017000.0
EMP-0026,2025-09,4022000.0,4007000.0
EMP-0026,2025-10,3936000.0,3957000.0
EMP-0026,2025-11,3889000.0,3855000.0
EMP-0026,2025-12,3855000.0,3887000.0
EMP-0027,2025-01,11249000.0,11217000.0
EMP-0027,2025-02,11541000.0,11700000.0
EMP-0027,2025-03,11281000.0,11205000.0
EMP-0027,2025-04,11319000.0,11510000.0
EMP-0027,2025-05,11662000.0,11784000.0
EMP-0027,2025-06,11072000.0,11002000.0
EMP-0027,2025-07,11665000.0,11590000.0
EMP-0027,2025-08,11389000.0,11327000.0
EMP-0027,2025-09,11748000.0,11900000.0
EMP-0027,2025-10,12171000.0,11994000.0
EMP-0027,2025-11,11872000.0,11918000.0
EMP-0027,2025-12,11957000.0,11763000.0
EMP-0028,2025-01,3257000.0,3210000.0
EMP-0028,2025-02,3232000.0,3180000.0
EMP-0028,2025-03,3253000.0,3233000.0
EMP-0028,2025-04,3275000.0,3241000.0
EMP-0028,2025-05,3256000.0,3226000.0
EMP-0028,2025-06,3211000.0,3185000.0
EMP-0028,2025-07,3211000.0,3207000.0
EMP-0028,2025-08,3172000.0,3147000.0
EMP-0028,2025-09,3200000.0,3172000.0
EMP-0028,2025-10,3534000.0,3616000.0
EMP-0028,2025-11,3392000.0,3375000.0
EMP-0028,2025-12,3371000.0,3302000.0
EMP-0029,2025-01,8233000.0,8308000.0
EMP-0029,2025-02,8580000.0,8545000.0
EMP-0029,2025-03,8746000.0,8670000.0
EMP-0029,2025-04,9047000.0,8960000.0
EMP-0029,2025-05,8920000.0,8970000.0
EMP-0029,2025-06,8640000.0,8665000.0
EMP-0029,2025-07,8798000.0,8747000.0
EMP-0029,2025-08,8468000.0,8489000.0
EMP-0029,2025-09,8868000.0,8887000.0
EMP-0029,2025-10,8581000.0,8609000.0
EMP-0029,2025-11,8326000.0,8247000.0
EMP-0029,2025-12,8397000.0,8462000.0
EMP-0030,2025-01,6711000.0,6652000.0
EMP-0030,2025-02,6656000.0,6659000.0
EMP-0030,2025-03,6466000.0,6442000.0
EMP-0030,2025-04,6535000.0,6538000.0
EMP-0030,2025-05,6643000.0,6727000.0
EMP-0030,2025-06,6569000.0,6577000.0
EMP-0030,2025-07,6638000.0,6702000.0
EMP-0030,2025-08,6392000.0,6405000.0
EMP-0030,2025-09,6333000.0,6452000.0
EMP-0030,2025-10,6126000.0,6156000.0
EMP-0030,2025-11,6145000.0,6058000.0
EMP-0030,2025-12,6238000.0,6180000.0
EMP-0031,2025-01,9951000.0,9879000.0
EMP-0031,2025-02,10309000.0,10278000.0
EMP-0031,2025-03,10406000.0,10338000.0
EMP-0031,2025-04,10730000.0,10577000.0
EMP-0031,2025-05,10691000.0,10685000.0
EMP-0031,2025-06,10427000.0,10204000.0
EMP-0031,2025-07,10406000.0,10586000.0
EMP-0031,2025-08,10187000.0,10178000.0
EMP-0031,2025-09,10515000.0,10686000.0
EMP-0031,2025-10,10235000.0,10137000.0
EMP-0031,2025-11,10615000.0,10603000.0
EMP-0031,2025-12,10879000.0,10985000.0
EMP-0032,2025-01,6222000.0,6341000.0
EMP-0032,2025-02,6169000.0,6205000.0
EMP-0032,2025-03,6057000.0,5981000.0
EMP-0032,2025-04,6025000.0,6024000.0
EMP-0032,2025-05,6167000.0,6096000.0
EMP-0032,2025-06,6107000.0,6165000.0
EMP-0032,2025-07,6242000.0,6273000.0
EMP-0032,2025-08,6226000.0,6291000.0
EMP-0032,2025-09,6140000.0,6174000.0
EMP-0032,2025-10,6051000.0,6072000.0
EMP-0032,2025-11,6405000.0,6322000.0
EMP-0032,2025-12,6455000.0,6435000.0
EMP-0033,2025-01,3253000.0,3276000.0
EMP-0033,2025-02,3277000.0,3250000.0
EMP-0033,2025-03,3301000.0,3263000.0
EMP-0033,2025-04,3240000.0,3267000.0
EMP-0033,2025-05,3433000.0,3434000.0
EMP-0033,2025-06,3453000.0,3491000.0
EMP-0033,2025-07,3410000.0,3401000.0
EMP-0033,2025-08,3454000.0,3461000.0
EMP-0033,2025-09,3265000.0,3258000.0
EMP-0033,2025-10,3274000.0,3282000.0
EMP-0033,2025-11,3283000.0,3348000.0
EMP-0033,2025-12,3184000.0,3223000.0
EMP-0034,2025-01,3786000.0,3827000.0
EMP-0034,2025-02,4047000.0,4007000.0
EMP-0034,2025-03,3987000.0,3974000.0
EMP-0034,2025-04,3993000.0,3997000.0
EMP-0034,2025-05,4026000.0,4009000.0
EMP-0034,2025-06,4123000.0,4155000.0
EMP-0034,2025-07,3857000.0,3883000.0
EMP-0034,2025-08,2471000.0,2437000.0
EMP-0034,2025-09,2474000.0,2470000.0
EMP-0034,2025-10,2455000.0,2420000.0
EMP-0034,2025-11,2439000.0,2416000.0
EMP-0034,2025-12,2454000.0,2469000.0
