employer_id,periode,jumlah_keluar
EMP-0001,2025-01,0
EMP-0001,2025-02,0
EMP-0001,2025-03,1
EMP-0001,2025-04,1
EMP-0001,2025-05,0
EMP-0001,2025-06,3
EMP-0001,2025-07,1
EMP-0001,2025-08,1
EMP-0001,2025-09,0
EMP-0001,2025-10,0
EMP-0001,2025-11,0
EMP-0001,2025-12,0
EMP-0002,2025-01,0
EMP-0002,2025-02,1
EMP-0002,2025-03,0
EMP-0002,2025-04,1
EMP-0002,2025-05,1
EMP-0002,2025-06,0
EMP-0002,2025-07,0
EMP-0002,2025-08,2
EMP-0002,2025-09,0
EMP-0002,2025-10,2
EMP-0002,2025-11,0
EMP-0002,2025-12,1
EMP-0003,2025-01,0
EMP-0003,2025-02,1
EMP-0003,2025-03,1
EMP-0003,2025-04,0
EMP-0003,2025-05,0
EMP-0003,2025-06,1
EMP-0003,2025-07,0
EMP-0003,2025-08,0
EMP-0003,2025-09,2
EMP-0003,2025-10,1
EMP-0003,2025-11,0
EMP-0003,2025-12,0
EMP-0004,2025-01,1
EMP-0004,2025-02,0
EMP-0004,2025-03,2
EMP-0004,2025-04,0
EMP-0004,2025-05,2
EMP-0004,2025-06,0
EMP-0004,2025-07,0
EMP-0004,2025-08,0
EMP-0004,2025-09,2
EMP-0004,2025-10,0
EMP-0004,2025-11,1
EMP-0004,2025-12,0
EMP-0005,2025-01,0
EMP-0005,2025-02,0
EMP-0005,2025-03,0
EMP-0005,2025-04,0
EMP-0005,2025-05,0
EMP-0005,2025-06,2
EMP-0005,2025-07,0
EMP-0005,2025-08,0
EMP-0005,2025-09,0
EMP-0005,2025-10,0
EMP-0005,2025-11,0
EMP-0005,2025-12,3
EMP-0006,2025-01,0
EMP-0006,2025-02,0
EMP-0006,2025-03,0
EMP-0006,2025-04,0
EMP-0006,2025-05,0
EMP-0006,2025-06,0
EMP-0006,2025-07,0
EMP-0006,2025-08,1
EMP-0006,2025-09,0
EMP-0006,2025-10,0
EMP-0006,2025-11,0
EMP-0006,2025-12,0
EMP-0007,2025-01,0
EMP-0007,2025-02,0
EMP-0007,2025-03,0
EMP-0007,2025-04,0
EMP-0007,2025-05,0
EMP-0007,2025-06,0
EMP-0007,2025-07,1
EMP-0007,2025-08,0
EMP-0007,2025-09,0
EMP-0007,2025-10,0
EMP-0007,2025-11,1
EMP-0007,2025-12,1
EMP-0008,2025-01,0
EMP-0008,2025-02,0
EMP-0008,2025-03,0
EMP-0008,2025-04,0
EMP-0008,2025-05,0
EMP-0008,2025-06,1
EMP-0008,2025-07,0
EMP-0008,2025-08,0
EMP-0008,2025-09,0
EMP-0008,2025-10,0
EMP-0008,2025-11,1
EMP-0008,2025-12,2
EMP-0009,2025-01,0
EMP-0009,2025-02,1
EMP-0009,2025-03,0
EMP-0009,2025-04,1
EMP-0009,2025-05,0
EMP-0009,2025-06,0
EMP-0009,2025-07,1
EMP-0009,2025-08,0
EMP-0009,2025-09,0
EMP-0009,2025-10,1
EMP-0009,2025-11,0
EMP-0009,2025-12,0
EMP-0010,2025-01,0
EMP-0010,2025-02,0
EMP-0010,2025-03,1
EMP-0010,2025-04,2
EMP-0010,2025-05,1
EMP-0010,2025-06,0
EMP-0010,2025-07,0
EMP-0010,2025-08,1
EMP-0010,2025-09,2
EMP-0010,2025-10,1
EMP-0010,2025-11,0
EMP-0010,2025-12,1
EMP-0011,2025-01,1
EMP-0011,2025-02,0
EMP-0011,2025-03,1
EMP-0011,2025-04,0
EMP-0011,2025-05,2
EMP-0011,2025-06,0
EMP-0011,2025-07,0
EMP-0011,2025-08,1
EMP-0011,2025-09,0
EMP-0011,2025-10,1
EMP-0011,2025-11,0
EMP-0011,2025-12,0
EMP-0012,2025-01,1
EMP-0012,2025-02,0
EMP-0012,2025-03,2
EMP-0012,2025-04,0
EMP-0012,2025-05,0
EMP-0012,2025-06,0
EMP-0012,2025-07,0
EMP-0012,2025-08,0
EMP-0012,2025-09,0
EMP-0012,2025-10,0
EMP-0012,2025-11,0
EMP-0012,2025-12,0
EMP-0013,2025-01,1
EMP-0013,2025-02,0
EMP-0013,2025-03,0
EMP-0013,2025-04,0
EMP-0013,2025-05,0
EMP-0013,2025-06,0
EMP-0013,2025-07,0
EMP-0013,2025-08,0
EMP-0013,2025-09,0
EMP-0013,2025-10,0
EMP-0013,2025-11,0
EMP-0013,2025-12,1
EMP-0014,2025-01,0
EMP-0014,2025-02,0
EMP-0014,2025-03,0
EMP-0014,2025-04,0
EMP-0014,2025-05,0
EMP-0014,2025-06,0
EMP-0014,2025-07,1
EMP-0014,2025-08,2
EMP-0014,2025-09,0
EMP-0014,2025-10,0
EMP-0014,2025-11,0
EMP-0014,2025-12,1
EMP-0015,2025-01,0
EMP-0015,2025-02,0
EMP-0015,2025-03,1
EMP-0015,2025-04,1
EMP-0015,2025-05,0
EMP-0015,2025-06,1
EMP-0015,2025-07,0
EMP-0015,2025-08,0
EMP-0015,2025-09,2
EMP-0015,2025-10,0
EMP-0015,2025-11,0
EMP-0015,2025-12,1
EMP-0016,2025-01,1
EMP-0016,2025-02,1
EMP-0016,2025-03,0
EMP-0016,2025-04,0
EMP-0016,2025-05,1
EMP-0016,2025-06,3
EMP-0016,2025-07,0
EMP-0016,2025-08,0
EMP-0016,2025-09,1
EMP-0016,2025-10,0
EMP-0016,2025-11,0
EMP-0016,2025-12,1
EMP-0017,2025-01,1
EMP-0017,2025-02,0
EMP-0017,2025-03,1
EMP-0017,2025-04,1
EMP-0017,2025-05,0
EMP-0017,2025-06,0
EMP-0017,2025-07,2
EMP-0017,2025-08,0
EMP-0017,2025-09,2
EMP-0017,2025-10,1
EMP-0017,2025-11,1
EMP-0017,2025-12,0
EMP-0018,2025-01,2
EMP-0018,2025-02,0
EMP-0018,2025-03,0
EMP-0018,2025-04,0
EMP-0018,2025-05,0
EMP-0018,2025-06,1
EMP-0018,2025-07,1
EMP-0018,2025-08,0
EMP-0018,2025-09,0
EMP-0018,2025-10,0
EMP-0018,2025-11,0
EMP-0018,2025-12,0
EMP-0019,2025-11,1
EMP-0019,2025-12,0
EMP-0020,2025-01,1
EMP-0020,2025-02,0
EMP-0020,2025-03,0
EMP-0020,2025-04,0
EMP-0020,2025-05,0
EMP-0020,2025-06,0
EMP-0020,2025-07,0
EMP-0020,2025-08,1
EMP-0020,2025-09,1
EMP-0020,2025-10,2
EMP-0020,2025-11,0
EMP-0020,2025-12,1
EMP-0021,2025-01,0
EMP-0021,2025-02,1
EMP-0021,2025-03,0
EMP-0021,2025-04,1
EMP-0021,2025-05,0
EMP-0021,2025-06,0
EMP-0021,2025-07,0
EMP-0021,2025-08,0
EMP-0021,2025-09,0
EMP-0021,2025-10,2
EMP-0021,2025-11,0
EMP-0021,2025-12,0
EMP-0022,2025-01,2
EMP-0022,2025-02,1
EMP-0022,2025-03,0
EMP-0022,2025-04,0
EMP-0022,2025-05,0
EMP-0022,2025-06,0
EMP-0022,2025-07,0
EMP-0022,2025-08,0
EMP-0022,2025-09,0
EMP-0022,2025-10,0
EMP-0022,2025-11,2
EMP-0022,2025-12,1
EMP-0023,2025-01,0
EMP-0023,2025-02,0
EMP-0023,2025-03,0
EMP-0023,2025-04,0
EMP-0023,2025-05,1
EMP-0023,2025-06,1
EMP-0023,2025-07,0
EMP-0023,2025-08,1
EMP-0023,2025-09,0
EMP-0023,2025-10,0
EMP-0023,2025-11,0
EMP-0023,2025-12,0
EMP-0024,2025-01,1
EMP-0024,2025-02,1
EMP-0024,2025-03,0
EMP-0024,2025-04,0
