employer_id,label,expected_module,status_A,score_A,score_A_norm,reason_A,status_B,score_B,score_B_norm,reason_B,status_C,score_C,score_C_norm,reason_C,n_flags,flagged_by
EMP-0001,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.215,0.048,"Upah sejalan dengan perusahaan sejenis (1% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0002,REMITTANCE_GAP,C,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (0% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",FLAGGED,0.1611,0.807,Setoran iuran rata-rata 16% di bawah yang seharusnya selama 4 bulan berturut-turut (2025-09 s/d 2025-12); total kekurangan Rp3.269.000.,1,C
EMP-0003,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.8,0.178,"Upah sejalan dengan perusahaan sejenis (4% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0004,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.424,0.094,"Upah sejalan dengan perusahaan sejenis (2% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0005,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (3% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0006,REMITTANCE_GAP,C,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.525,0.117,"Upah sejalan dengan perusahaan sejenis (3% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",FLAGGED,0.1598,0.804,Setoran iuran rata-rata 16% di bawah yang seharusnya selama 8 bulan berturut-turut (2025-05 s/d 2025-12); total kekurangan Rp5.638.000.,1,C
EMP-0007,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.024,0.005,"Upah sejalan dengan perusahaan sejenis (0% di bawah median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0008,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (5% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0009,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (4% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",NORMAL,0.0,0.0,Setoran sesuai dengan yang seharusnya (selisih dalam toleransi 2% / Rp10.000).,0,-
EMP-0010,CLEAN,CLEAN,NORMAL,0.0,0.0,Pergerakan jumlah karyawan dalam batas wajar.,NORMAL,0.0,0.0,"Upah sejalan dengan perusahaan sejenis (3% di atas median; sektor=Manufaktur | wilayah=DKI Jakarta | skala=Kecil, n=34).",ONE_OFF_GAP,0.0225,0.49,"Kurang setor pada 2025-11, tetapi tidak berulang berturut-turut — dianggap wajar.",0,-
